127.0.0.1 - admin [27/May/2024:00:15:03 -0400] "PUT /manager/text/deploy?path=%2Fwebapp-session&update=true HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [27/May/2024:00:15:14 -0400] "GET /webapp-session/ver-carro HTTP/1.1" 401 762
0:0:0:0:0:0:0:1 - - [27/May/2024:00:16:23 -0400] "GET /webapp-session/agregar-carro?id=1 HTTP/1.1" 401 762
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:05 -0400] "GET /webapp-session/ver-carro HTTP/1.1" 401 762
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:10 -0400] "GET /webapp-session/login HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:13 -0400] "POST /webapp-session/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:13 -0400] "GET /webapp-session/login HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:15 -0400] "GET /webapp-session HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:15 -0400] "GET /webapp-session/ HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:16 -0400] "GET /webapp-session/productos HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:18 -0400] "GET /webapp-session/agregar-carro?id=+1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:18 -0400] "GET /webapp-session/ver-carro HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:23 -0400] "POST /webapp-session/actualizar-carro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:23 -0400] "GET /webapp-session/ver-carro HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:25 -0400] "POST /webapp-session/actualizar-carro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:25 -0400] "GET /webapp-session/ver-carro HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:25 -0400] "POST /webapp-session/actualizar-carro HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:25 -0400] "GET /webapp-session/ver-carro HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:29 -0400] "GET /webapp-session HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2024:00:21:29 -0400] "GET /webapp-session/ HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [27/May/2024:00:23:49 -0400] "GET /webapp-session/productos HTTP/1.1" 200 1216
