07-May-2024 16:25:37.915 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
07-May-2024 16:25:37.915 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
07-May-2024 16:25:37.921 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 16:25:37.921 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
07-May-2024 16:26:19.829 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 16:26:19.829 INFO [http-nio-8080-exec-4] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
07-May-2024 16:28:29.315 INFO [http-nio-8080-exec-17] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 16:28:29.315 INFO [http-nio-8080-exec-17] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
07-May-2024 16:30:24.711 INFO [http-nio-8080-exec-23] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 16:30:24.711 INFO [http-nio-8080-exec-23] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
07-May-2024 16:32:22.666 INFO [http-nio-8080-exec-29] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 16:32:22.666 INFO [http-nio-8080-exec-29] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
07-May-2024 16:34:44.222 INFO [http-nio-8080-exec-34] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 16:34:44.222 INFO [http-nio-8080-exec-34] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
07-May-2024 17:15:26.454 INFO [http-nio-8080-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-form'
07-May-2024 17:15:26.455 INFO [http-nio-8080-exec-41] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-form.war.tmp
